2024-08-14 15:34:24.013 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:32.210 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:34:32.225 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:41.956 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:34:41.972 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:34:53.454 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:34:53.490 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:35:09.608 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:35:09.627 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:35:20.411 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:35:20.417 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:35:25.701 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:35:25.712 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:35:48.155 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:35:48.168 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:08.495 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:08.524 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:31.752 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:31.791 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:40.498 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:40.510 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:45.462 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:45.471 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:48.208 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:48.222 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:54.085 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:54.094 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:36:58.191 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:36:58.205 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:37:03.416 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:37:03.429 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:37:10.116 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:37:10.128 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:37:33.201 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
2024-08-14 15:37:33.302 +05:30 [INF] Departments retrieved successfully for employeeId: 2
2024-08-14 15:37:45.419 +05:30 [INF] GetDepartmentNamesByEmployeeId endpoint called with employeeId: 2
